Don’t be afraid to fail. Don’t waste energy trying to cover up failure. Learn from your failures and go on to the next challenge. It’s ok to fail. If you’re not failing, you’re not growing.|H. Stanley Judd|
You are not the sum of your defeats. You are the product of your victories.|unknown|
Be yourself; everyone else is already taken.|Oscar Wilde|
So much depends on your reputation — guard it with your life|"48 Laws of Power"|
Share sympathy when you have no experience, share experiences when you do.|unknown|
Life is not meant for fighting idiots.|unknown|
Find a place you trust, and then try trusting it for awhile.|Sister Corita Kent|
Always be around. Come or go to everything. Always go to classes. Read anything you can get your hands on. Look at movies carefully, often. Save everything — it might come in handy later.|Sister Corita Kent|
What's your purpose?|unknown|
The soft-minded man always fears change. He feels security in the status quo, and he has an almost morbid fear of the new. For him, the greatest pain is the pain of a new idea.|Martin Luther King Junior|
Good things may come to those who wait, but only the things left by those who hustle|Abraham Lincoln|
Instruments do not become sharp on soap rock, it's difficulties that make men invincible.|John Wesley Dobbs|
The foolishness of yesterday becomes the wisdom of tomorrow|unknown|
A comfort zone is a beautiful place but nothing ever grows there.|unknown|
There are many paths to the top of the mountain, but the view is the same|unknown|
You only live once, but if you do it right, once is enough.|Mae West|
Make other people come to you — use bait if necessary|"48 Laws of Power"|
Pose as a friend, work as a spy|"48 Laws of Power"|
Know who you're dealing with — do not offend the wrong person|"48 Laws of Power"|
Concentrate your forces|"48 Laws of Power"|
Play on people's need to believe to create a cultlike following|"48 Laws of Power"|
You are the universe expressing itself as a human being for a little while|unknown|
Let the women whine, it is their business|Napoleon Bonaparte|
General duties of a student — pull everything out of your teacher; pull everything out of your fellow students.|Sister Corita Kent|
Sometimes you get numbers fatigue. Take some time to actually read the numbers.|Domoire De Freitas|
Just because you had to search for the answer doesn't mean you didn't know it all along|unknown|
Fortune favors those who try|Courage - boa|
When the sunshine is inside you the beams can be seen on your face|unknown|
Always be ready to sacrifice your heroes|unknown|
Wherever you go, there you are.|unknown|
Il n'y a rien dans ce monde qui n'ait un moment decisif — There is nothing in this world without a decisive moment|Cardinal de Retz|
Don't always be running to something, or from something. Sometimes just run.|unknown|
Be the change that you wish to see in the world.|Mahatma Gandhi|
Win through your actions, never through argument|"48 Laws of Power"|
Use selective honesty and generosity to disarm your victim|"48 Laws of Power"|
Keep others in suspended terror: Culivate an air of unpredictability|"48 Laws of Power"|
Ready, Fire, Aim|unknown|
If the world is something you accept rather than interpret, then you're susceptible to the influence of charismatic idiots.|Neil DeGrasse Tyson|
Consider everything an experiment.|Sister Corita Kent|
Can you no longer see a road to freedom? It's right in front of you. You need only turn over your wrists|Lucius Annaeus Seneca|
God doesn't bleed|unknown|
It is an eye for an eye that makes the world blind.|M. K. Gandhi|
You’ll worry less about what people think about you when you realize how seldom they do.|unknown|
If you climb far enough into anybody's ass, you'll eventually find some shit|/u/savvy_knee|
I have not failed. I’ve just found 10,000 ways that won’t work.|Thomas Edison|
Why worry about the future? It just came and went.|unknown|
